metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata,,,
vus,1740104896,0,,,,,,,,,,,,,,,,,,,
vus_max,1740104896,10,,,,,,,,,,,,,,,,,,,
vus,1740104897,0,,,,,,,,,,,,,,,,,,Row Labels,Count of extra_tags
vus_max,1740104897,10,,,,,,,,,,,,,,,,,,vu=1,54
http_reqs,1740104898,1,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,vu=2,24
http_req_duration,1740104898,366.2088,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,vu=3,78
http_req_blocked,1740104898,600.4863,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,vu=4,60
http_req_connecting,1740104898,250.5079,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,vu=5,84
http_req_tls_handshaking,1740104898,268.2385,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,vu=6,48
http_req_sending,1740104898,1.7259,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,vu=7,39
http_req_waiting,1740104898,363.4839,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,vu=8,9
http_req_receiving,1740104898,0.999,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,vu=9,21
http_req_failed,1740104898,0,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,(blank),
checks,1740104898,1,Verify response status = 200,,,,,,,,contacts,,,,,,,,,Grand Total,417
ramping_vus_trend,1740104898,366.2088,,,,,,,,,contacts,,,,,,vu=5,,,,
ramping_vus_rate,1740104898,1,,,,,,,,,contacts,,,,,,vu=5,,,,
ramping_vus_counter,1740104898,1,,,,,,,,,contacts,,,,,,vu=5,,,,139
vus,1740104898,1,,,,,,,,,,,,,,,,,,,
vus_max,1740104898,10,,,,,,,,,,,,,,,,,,,
data_sent,1740104899,454,,,,,,,,,contacts,,,,,,,,,,
data_received,1740104899,5030,,,,,,,,,contacts,,,,,,,,,,
iteration_duration,1740104899,1485.1119,,,,,,,,,contacts,,,,,,,,,,
iterations,1740104899,1,,,,,,,,,contacts,,,,,,,,,,
http_reqs,1740104899,1,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_duration,1740104899,447.7819,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_blocked,1740104899,0,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_connecting,1740104899,0,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_tls_handshaking,1740104899,0,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_sending,1740104899,0,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_waiting,1740104899,447.7819,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_receiving,1740104899,0,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_failed,1740104899,0,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
checks,1740104899,1,Verify response status = 200,,,,,,,,contacts,,,,,,,,,,
ramping_vus_trend,1740104899,447.7819,,,,,,,,,contacts,,,,,,vu=5,,,,
ramping_vus_rate,1740104899,1,,,,,,,,,contacts,,,,,,vu=5,,,,
ramping_vus_counter,1740104899,1,,,,,,,,,contacts,,,,,,vu=5,,,,
vus,1740104899,1,,,,,,,,,,,,,,,,,,,
vus_max,1740104899,10,,,,,,,,,,,,,,,,,,,
data_sent,1740104900,110,,,,,,,,,contacts,,,,,,,,,,
data_received,1740104900,711,,,,,,,,,contacts,,,,,,,,,,
iteration_duration,1740104900,949.4869,,,,,,,,,contacts,,,,,,,,,,
iterations,1740104900,1,,,,,,,,,contacts,,,,,,,,,,
http_reqs,1740104900,1,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_duration,1740104900,432.2665,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_blocked,1740104900,0,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_connecting,1740104900,0,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_tls_handshaking,1740104900,0,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_sending,1740104900,0.124,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_waiting,1740104900,432.1425,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_receiving,1740104900,0,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_failed,1740104900,0,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
checks,1740104900,1,Verify response status = 200,,,,,,,,contacts,,,,,,,,,,
ramping_vus_trend,1740104900,432.2665,,,,,,,,,contacts,,,,,,vu=5,,,,
ramping_vus_rate,1740104900,1,,,,,,,,,contacts,,,,,,vu=5,,,,
ramping_vus_counter,1740104900,1,,,,,,,,,contacts,,,,,,vu=5,,,,
vus,1740104900,2,,,,,,,,,,,,,,,,,,,
vus_max,1740104900,10,,,,,,,,,,,,,,,,,,,
http_reqs,1740104901,1,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_duration,1740104901,426.0743,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_blocked,1740104901,863.4787,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_connecting,1740104901,428.0853,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_tls_handshaking,1740104901,435.169,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_sending,1740104901,0.5189,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_waiting,1740104901,425.3891,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_receiving,1740104901,0.1663,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
http_req_failed,1740104901,0,,,,TRUE,,GET,https://test.k6.io/contacts.php,HTTP/1.1,contacts,,200,,tls1.3,https://test.k6.io/contacts.php,,,,,
checks,1740104901,1,Verify response status = 200,,,,,,,,contacts,,,,,,,,,,
ramping_vus_trend,1740104901,426.0743,,,,,,,,,contacts,,,,,,vu=3,,,,
ramping_vus_rate,1740104901,1,,,,,,,,,contacts,,,,,,vu=3,,,,
ramping_vus_counter,1740104901,1,,,,,,,,,contacts,,,,,,vu=3,,,,
data_sent,1740104901,110,,,,,,,,,contacts,,,,,,,,,,
data_received,1740104901,711,,,,,,,,,contacts,,,,,,,,,,
iteration_duration,1740104901,947.8282,,,,,,,,,contacts,,,,,,,,,,
